File Name                      | Total Lines     | Unique Content  | Padding %      
--------------------------------------------------------------------------------
audio_node.py                  | 121             | 89              | 26.4%
audit_code.py                  | 45              | 32              | 28.9%
autopsy.py                     | 241             | 174             | 27.8%
dashboard.py                   | 152             | 111             | 27.0%
dashboard_api.py               | 430             | 248             | 42.3%
dashboard_ui_setup.py          | 356             | 264             | 25.8%
developer_tools.py             | 272             | 190             | 30.1%
distributed_queue.py           | 153             | 104             | 32.0%
ecosystem_executors.py         | 84              | 54              | 35.7%
example_8_security.py          | 106             | 74              | 30.2%
executor.py                    | 194             | 135             | 30.4%
fast_router.py                 | 189             | 130             | 31.2%
jarvis_os.py                   | 329             | 226             | 31.3%
jarvis_os_init.py              | 36              | 29              | 19.4%
jarvis_os_init_main.py         | 25              | 21              | 16.0%
memory_manager.py              | 456             | 269             | 41.0%
mutation.py                    | 284             | 199             | 29.9%
setup.py                       | 8               | 8               | 0.0%
structured_logger.py           | 242             | 160             | 33.9%
test_dashboard.py              | 281             | 182             | 35.2%
test_jarvis_os.py              | 319             | 207             | 35.1%
validate.py                    | 204             | 144             | 29.4%
vfs.py                         | 96              | 71              | 26.0%
vision_node.py                 | 115             | 84              | 27.0%
__init__.py                    | 40              | 35              | 12.5%
--------------------------------------------------------------------------------
OVERALL                        | 4778            | 3240            | 32.2%
